NBA SALARIES,,,
,,,
Los Angeles Lakers         Total,"$54,123,533 ",,
Shaquille O'Neal ..............,"17,142,858",,
Kobe Bryant ...................,"9,000,000",,
Glen Rice .....................,"7,000,000",,
Robert Horry ..................,"4,800,000",,
Derek Fisher ..................,"3,000,000",,
Rick Fox ......................,"3,033,000",,
Travis Knight .................,"2,800,000",,
Ron Harper ....................,"2,000,000",,
A.C. Green ....................,"1,700,000",,
Tyronn Lue ....................,"809,280",,
Devean George .................,"790,440",,
Sam Jacobson ..................,"721,080",[released,11/99]
John Salley ...................,"510,000",[minimum,"$1,000,000]"
Byron Scott ...................,"510,000",[complete,d contract*]
Brian Shaw ....................,"510,000",[minimum,"$1,000,000]"
Shea Seals ....................,"385,000",[complete,d contract*]
John Celestand ................,"301,875",,
Andy Panko ....................,"5,000",[released,10/99]
,,,
----,,,
,,,
Miami Heat                 Total,"$50,966,573 ",,
Alonzo Mourning ...............,"15,004,800",,
Jamal Mashburn ................,"5,600,000",,
P.J. Brown ....................,"5,124,800",,
Tim Hardaway ..................,"4,800,000",,
Dan Majerle ...................,"3,600,000",,
Voshon Lenard .................,"3,308,516",,
Mark Strickland ...............,"2,302,400",,
Otis Thorpe ...................,"2,000,000",,
Clarence Weatherspoon .........,"1,925,000",,
Keith Askins ..................,"1,752,400",[released,11/99]
Duane Causwell ................,"1,696,387",,
Rex Walters ...................,"1,100,000",[released,2/00]
Tim James .....................,"728,520",,
Willie Anderson ...............,"510,000",[complete,d contract*]
Blue Edwards ..................,"510,000",[complete,d contract*]
Ed Pinckney ...................,"510,000",[complete,d contract*]
Amal McCaskill ................,"485,000",[released,10/99]
Anthony Carter ................,"385,000",,
Rodney Buford .................,"301,875",,
Harold Jamison ................,"301,875",,
Jamie Watson ..................,"250,000",[released,10/99]
Corey Brewer ..................,"100,000",[released,10/99]
Mark Davis ....................,"100,000",[released,10/99]
Jermaine Walker ...............,"100,000",[released,10/99]
[Bruce Bowen signed minimum con,tract 2/00],,
,,,
----,,,
,,,
Milwaukee Bucks            Total,"$45,755,447 ",,
Ray Allen .....................,"9,000,000",,
Glenn Robinson ................,"7,250,000",,
Danny Manning .................,"6,833,333",,
Scott Williams ................,"3,750,000",,
Sam Cassell ...................,"3,500,000",,
Ervin Johnson .................,"2,951,029",,
Tim Thomas ....................,"2,098,560",,
Robert Traylor ................,"2,059,320",,
J.R. Reid .....................,"2,000,000",,
Vinny Del Negro ...............,"1,925,000",,
Paul Grant ....................,"1,021,080",[released,11/99]
Jerome Allen ..................,"510,000",[complete,d contract*]
Ricky Pierce ..................,"510,000",[complete,d contract*]
Haywoode Workman ..............,"510,000",[released,"2/00, min. $1,000,000]"
Darvin Ham ....................,"460,000",,
Rafer Alston ..................,"301,875",,
[Mirsad Turkcan signed minimum,contract 2/,00],
,,,
----,,,
,,,
Minnesota Timberwolves     Total,"$42,132,272 ",,
Kevin Garnett .................,"16,806,300",,
Terrell Brandon ...............,"7,400,000",,
Dean Garrett ..................,"2,520,000",,
Anthony Peeler ................,"2,495,500",,
Joe Smith .....................,"2,100,000",,
Wally Szczerbiak ..............,"2,011,440",,
Sam Mitchell ..................,"2,000,000",,
Willliam Avery ................,"1,196,520",,
Tom Hammonds ..................,"1,800,000",,
Malik Sealy ...................,"1,100,000",,
Radoslav Nesterovic ...........,"1,050,240",,
Bobby Jackson .................,"903,360",,
James Robinson ................,"510,000",[complete,d contract*]
Andrae Patterson ..............,"385,000",,
Danny Schayes .................,"211,765",[released,12/99]
Lou Roe .......................,"97,412",[released,12/99]
Eric Riley ....................,"50,206",[released,1/00]
Trevor Winter .................,"4,529",[released,11/99]
,,,
----,,,
,,,
New Jersey Nets            Total,"$52,735,461 ",,
Jayson Williams ...............,"12,375,000",,
Stephon Marbury ...............,"9,000,000",,
Kerry Kittles .................,"7,166,666",,
Kendall Gill ..................,"5,600,000",,
Jim McIlvaine .................,"4,800,000",,
Keith Van Horn ................,"3,451,920",,
Jamie Feick ...................,"2,000,000",,
Elliot Perry ..................,"2,000,000",,
Lucious Harris ................,"1,920,000",,
Johnny Newman .................,"1,100,000",,
Scott Burrell .................,"1,000,000",,
Sherman Douglas ...............,"1,000,000",,
Michael Cage ..................,"510,000",[released,"2/00, min. $1,000,000]"
Jack Haley ....................,"510,000",[complete,d contract*]
Gheorghe Muresan ..............,"510,000",[minimum,"$572,500]"
Evan Eschmeyer ................,"301,875",,
,,,
----,,,
,,,
New York Knicks            Total,"$71,340,801 ",,
Patrick Ewing .................,"15,000,000",,
Larry Johnson .................,"11,910,714",,
Latrell Sprewell ..............,"9,000,000",,
Allan Houston .................,"8,000,000",,
Chris Dudley ..................,"7,100,000",,
Marcus Camby ..................,"5,250,000",,
Charlie Ward ..................,"4,540,000",,
Chris Childs ..................,"4,160,000",,
John Wallace ..................,"2,000,000",,
Kurt Thomas ...................,"1,925,000",,
Frederic Weis .................,"947,200",[1999 1st,rd pick*]
Mirsad Turkcan ................,"830,745",[released,2/00]
Andrew Lang ...................,"510,000",[minimum,"$1,000,000]"
David Wingate .................,"510,000",[minimum,"$1,000,000]"
Rick Brunson ..................,"485,000",,
DeMarco Johnson ...............,"111,871",[released,12/99]
Jimmy Oliver ..................,"7,471",[released,11/99]
[Etdrick Bohannon signed 10-day,(minimum),2/00],
,,,
----,,,
,,,
Orlando Magic            Total $4,"1,586,801",[adjusted f,rom listing]
Darrell Armstrong .............,"4,125,000",,
Armon Gilliam .................,"3,707,200",[released,11/99]
Derek Strong ..................,"3,159,000",,
Chauncey Billups ..............,"3,100,080",,
Gerald Wilkins ................,"3,000,000",[released,6/99]
Ron Mercer ....................,"2,298,840",,
Bo Outlaw .....................,"2,000,000",,
Terry Davis ...................,"1,925,000",[released,10/99]
Yinka Dare ....................,"1,893,500",[released,2/98]
Michael Smith .................,"1,660,000",[released,10/99]
Michael Doleac ................,"1,357,320",,
