PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Bobby Phills,CHH,30,5-Jun,210,Southern,USA,1991,2,45,28,13.6,2.5,2.8,1.3,2.10%,6.80%,21.40%,52.40%,17.50%
Bonzi Wells,POR,23,5-Jun,210,Ball State,USA,1998,1,11,66,8.8,2.8,1.5,5.7,7.70%,9.00%,24.50%,54.00%,15.30%
Brad Miller,CHH,24,Jul-00,261,Purdue,USA,Undrafted,Undrafted,Undrafted,55,7.7,5.3,0.8,10.2,11.70%,17.60%,18.20%,55.80%,7.60%
Brent Barry,SEA,28,6-Jun,195,Oregon State,USA,1995,1,15,80,11.8,4.7,3.6,1.1,1.80%,11.80%,14.50%,60.90%,15.70%
Brent Price,VAN,31,1-Jun,185,Oklahoma,USA,1992,2,32,41,3.4,0.9,1.7,-3.5,1.90%,7.40%,18.60%,51.80%,27.10%
Brevin Knight,CLE,24,10-May,170,Stanford,USA,1997,1,16,65,9.3,3,7,-2.9,2.10%,8.60%,18.60%,47.10%,41.70%
Brian Grant,POR,28,9-Jun,254,Xavier,USA,1994,1,8,63,7.3,5.5,1,6.2,9.80%,17.20%,17.60%,54.00%,8.00%
Brian Shaw,LAL,34,6-Jun,200,California-Santa Barbara,USA,1988,1,24,74,4.1,2.9,2.7,4.8,3.50%,12.70%,14.20%,44.10%,23.90%
Brian Skinner,LAC,24,9-Jun,255,Baylor,USA,1998,1,22,33,5.4,6.1,0.3,-6.6,8.00%,17.20%,11.30%,55.00%,2.40%
Bruce Bowen,MIA,29,7-Jun,200,Cal State-Fullerton,USA,Undrafted,Undrafted,Undrafted,69,2.8,1.4,0.5,1.9,3.10%,8.00%,11.90%,46.00%,6.60%
Bruno Sundov,DAL,20,2-Jul,220,None,Croatia,1998,2,35,14,1.9,0.9,0.1,-12.6,7.00%,11.10%,22.90%,40.80%,5.10%
Bryant Reeves,VAN,27,Jul-00,275,Oklahoma State,USA,1995,1,6,69,8.9,5.7,1.2,-5.2,7.30%,16.20%,19.00%,48.10%,7.50%
Bryant Stith,DEN,29,5-Jun,208,Virginia,USA,1992,1,13,45,5.6,1.9,1.4,1.6,3.30%,8.80%,15.80%,56.80%,13.80%
Bryce Drew,HOU,25,3-Jun,185,Valparaiso,USA,1998,1,16,72,5.8,1.4,2.3,2.2,1.80%,6.10%,16.60%,48.10%,19.70%
Bryon Russell,UTA,29,7-Jun,225,Long Beach State,USA,1993,2,45,82,14.1,5.2,1.9,9.6,3.80%,12.10%,18.30%,55.00%,8.70%
Cal Bowdler,ATL,23,10-Jun,245,Old Dominion,USA,1999,1,17,46,2.7,1.8,0.3,-10.2,4.80%,15.20%,15.10%,46.30%,5.60%
Calbert Cheaney,BOS,28,7-Jun,215,Indiana,USA,1993,1,6,67,4,2.1,1.2,-3.9,1.70%,9.80%,10.80%,47.30%,9.30%
Calvin Booth,WAS,24,11-Jun,241,Penn State,USA,1999,2,35,11,3.8,2.9,0.6,-2.3,10.80%,13.80%,17.90%,40.30%,7.30%
Carlos Rogers,HOU,29,11-Jun,232,Tennessee State,USA,1994,1,11,53,8,5.2,0.8,-9.2,8.80%,16.10%,17.50%,54.90%,6.80%
Cedric Ceballos,DAL,30,7-Jun,220,Cal State-Fullerton,USA,1990,2,48,69,16.6,6.7,1.3,-2.1,8.00%,13.10%,25.70%,51.60%,7.40%
